Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
41	-12.882749	11.340324	-2.1419783	-68.45487	-17.845854	24.438646	-2.7789638	-87.126434	53.98649	87.0	163999	-4.9028726	6.3893948	2.2841835	-52.921955	4.747628	0.03201336	5922.2474064826965
42	-11.414239	6.7450695	-2.3144016	-30.263838	-13.733513	7.1736903	-2.8152719	-23.253597	47.54762	54.7	167999	-4.8734055	6.2134886	2.4629965	-50.005936	4.713538	0.029167296	6121.188902854919
43	-11.919034	7.773734	-1.9338334	-32.17924	-15.252121	9.795457	-4.5226803	-30.975912	47.404762	53.9	171999	-4.7787313	6.060143	1.8048562	-47.206257	4.62637	0.027299514	6319.372705936432
44	-12.783562	8.588228	-2.649691	-34.887383	-8.256825	4.0874977	-3.6661177	-15.736267	47.855423	33.9	175999	-4.770642	6.124609	2.7201407	-50.40143	4.62233	0.028280985	6518.125780820847
45	-12.08964	8.54313	-2.3511672	-30.99633	-12.7559	7.9180007	-2.2497807	-28.396284	47.44706	46.9	179999	-4.7596674	6.179885	1.9842285	-55.777637	4.6133103	0.030549716	6716.504615783691
46	-14.24658	8.286156	-1.9411777	-30.036749	-10.0286255	5.920913	-4.4043107	-23.963312	52.68421	44.6	183999	-4.7586846	6.0767527	1.8157663	-56.617554	4.6168847	0.03205945	6916.274542570114
47	-13.533803	9.814435	-2.515871	-47.22891	-28.825476	12.93902	-9.647266	-61.962746	54.84722	131.3	187999	-4.796046	6.005587	1.3530021	-59.648197	4.658372	0.031728826	7118.217457294464
48	-14.661638	13.311104	-1.8887606	-91.330864	-25.078468	21.076607	-2.8893256	-83.81034	63.015625	108.5	191999	-4.769873	6.006438	1.5305454	-61.54795	4.6302934	0.0335216	7331.4192934036255
49	-12.620561	7.850959	-2.6523	-32.798847	-11.627545	7.012037	-3.3648946	-22.806728	49.30488	47.4	195999	-4.6497717	6.019363	2.0489852	-62.824913	4.504137	0.031372886	7563.312678337097
50	-13.516137	9.069903	-1.8636056	-41.980175	-8.776474	6.0233717	-3.266683	-25.276955	52.644737	35.8	199999	-4.570011	6.048492	4.009098	-65.047516	4.432967	0.028324878	7780.72546172142
51	-12.962741	11.613357	-2.2257848	-86.79484	-12.579071	9.609656	-3.4135423	-32.587685	51.93421	46.3	203999	-4.511263	6.2147017	5.164521	-66.64413	4.369119	0.028657326	7998.445734977722
52	-13.696731	8.856292	-2.4022639	-30.780045	-9.271449	6.815478	-2.2195146	-21.127817	51.20253	42.8	207999	-4.446585	6.298485	6.115904	-72.839836	4.311853	0.029883144	8216.42790722847
53	-11.309635	8.599245	-1.9562039	-37.808033	-9.228622	6.3631735	-2.9676714	-21.009933	45.87356	40.6	211999	-4.5181923	6.276804	5.9905334	-75.598045	4.3916035	0.031344276	8443.50389122963
54	-14.080195	11.101261	-2.4086792	-56.598335	-11.93524	8.690339	-3.6318762	-25.719519	53.333332	50.4	215999	-4.5778723	6.3155236	6.1018066	-76.32252	4.4464636	0.029839974	8669.084391832352
55	-15.461045	26.770721	-2.1876493	-221.40834	-17.262486	12.924242	-3.8749938	-47.682507	56.914288	70.3	219999	-4.494256	6.1389337	4.923004	-76.43611	4.3619556	0.030970635	8929.72276520729
56	-13.628573	9.572384	-2.3569188	-39.08897	-19.970816	10.234739	-6.5428915	-35.33965	53.635136	87.1	223999	-4.461875	5.955393	1.4605424	-70.01031	4.3323693	0.028859112	9145.641622304916
57	-13.398878	11.238556	-1.8871874	-67.3305	-13.108192	6.5281715	-3.2338712	-23.968828	56.985916	55.5	227999	-4.3764153	6.029483	1.5798879	-69.75045	4.2438397	0.028920341	9359.366417884827
58	-13.099751	9.770625	-1.8035082	-36.93482	-12.552866	10.211833	-3.0326254	-29.659525	53.32	51.8	231999	-4.2004566	5.9913464	1.7485924	-66.52658	4.062703	0.030221976	9587.101608276367
59	-15.386244	13.535092	-2.29538	-72.03421	-35.011143	27.210033	-5.3149633	-73.72104	69.17242	209.8	235999	-4.1362624	5.9705315	1.5884068	-68.79959	4.005367	0.029969046	9827.039447546005
60	-37.221676	43.334892	-2.5659983	-198.0073	-22.304928	23.990026	-3.229012	-88.29169	174.34782	100.0	239999	-4.2283645	5.978948	1.5658232	-72.56536	4.10234	0.030653113	10064.605400562286
61	-16.538538	18.49815	-1.8194556	-142.1512	-17.517197	8.438269	-4.9052625	-28.535866	63.31746	58.0	243999	-4.4063697	5.96249	1.6580458	-73.7017	4.2893715	0.035464965	10302.7785654068
62	-12.959358	8.768544	-1.7315066	-41.90605	-27.82873	52.19042	-3.1351898	-183.117	49.135803	89.2	247999	-4.4885597	6.137725	1.7557595	-72.13462	4.368332	0.03204335	10540.291427135468
63	-18.096867	17.453388	-2.1214957	-91.858215	-15.613986	9.94267	-3.1458004	-30.870451	80.44	54.2	251999	-4.5087214	6.2332373	1.6602951	-73.84185	4.3918977	0.035094842	10775.199078559875
64	-15.017485	10.278839	-2.0132754	-52.076923	-24.178736	31.745853	-1.9377391	-89.20395	60.696968	131.0	255999	-4.584722	6.153216	1.395644	-72.403046	4.472769	0.03548382	11015.242408037186
65	-16.397108	17.533712	-2.0185173	-82.067894	-15.7608185	23.534712	-3.6080174	-85.0525	73.85185	83.1	259999	-4.624325	6.0684147	1.4838998	-69.31233	4.5061474	0.035011787	11251.262046575546
66	-12.538637	12.156974	-1.8034413	-77.38505	-9.739592	5.0283456	-4.965951	-21.653376	58.276924	41.6	263999	-4.4995995	6.1410093	1.7305515	-67.34742	4.37725	0.034709617	11485.306770563126
67	-12.669383	9.749856	-2.20526	-56.123577	-17.427906	24.877928	-5.120101	-90.87629	49.282352	89.3	267999	-4.4091983	6.1524715	1.8414195	-65.55645	4.2873454	0.03418268	11727.72750377655
68	-12.993841	8.509201	-2.677697	-33.096626	-9.744749	7.6946616	-3.2402685	-30.92201	54.256756	43.6	271999	-4.304978	6.165258	1.7632842	-66.569984	4.186258	0.03481971	12004.746311187744
69	-13.124143	7.6632314	-2.582678	-30.186312	-14.7213335	7.442278	-4.521729	-28.693228	53.36	56.9	275999	-4.2694583	6.2439013	3.587224	-73.70753	4.1519604	0.03328994	12258.926104307175
70	-17.14365	24.007584	-2.582567	-168.8437	-28.753307	29.88783	-3.0550747	-87.2843	71.23214	144.1	279999	-4.217373	6.232885	4.3487754	-75.430565	4.0958	0.0349363	12504.689272165298
71	-17.812187	16.493486	-2.4188848	-82.294	-11.856364	5.717302	-4.464605	-21.721876	96.0	49.8	283999	-4.101068	5.9608526	4.2997336	-74.60993	3.9808989	0.03313788	12740.522057056427
72	-11.9102745	7.845338	-2.4804704	-33.162502	-12.976103	8.126722	-4.233976	-27.57396	47.070587	47.5	287999	-4.123214	5.8712173	5.913646	-76.27056	4.005867	0.03130152	12953.95715379715
73	-12.308502	8.480923	-2.0291126	-31.078814	-11.4648695	9.092068	-2.185485	-27.500158	46.811764	42.7	291999	-4.052626	5.9342847	5.4639363	-79.36594	3.9372072	0.029514732	13167.24416923523
74	-12.911589	12.282341	-2.2692382	-78.57095	-15.0002575	12.905643	-2.5161033	-43.298496	55.59722	64.8	295999	-4.0505466	5.877812	6.3771152	-79.055786	3.9388816	0.028669598	13380.52022266388
75	-10.24275	7.534056	-2.266189	-31.662508	-14.749556	8.240802	-5.853965	-30.409063	42.61702	54.4	299999	-4.0727067	5.7858706	5.4054785	-75.5601	3.9621964	0.029394096	13596.408077716827
76	-13.024334	9.519577	-2.4751647	-45.725796	-35.540615	28.56669	-5.0044775	-82.01589	54.32857	190.7	303999	-4.101035	5.5772095	3.0688066	-70.484116	3.9950202	0.03292106	13811.960023403168
77	-13.594792	12.687923	-1.8503779	-75.640144	-12.626482	7.655685	-2.0051992	-28.399954	60.768116	45.9	307999	-4.1526713	5.5197916	3.9483106	-73.46877	4.046593	0.03443484	14027.220555782318
78	-10.18984	7.380726	-2.0245726	-31.730375	-10.872246	8.02031	-3.1221335	-26.37953	40.94898	42.2	311999	-4.150886	5.5446033	5.5197606	-74.034004	4.037629	0.03506585	14254.524856805801
79	-11.557158	8.677405	-1.8661633	-31.335857	-25.789371	39.718304	-3.1251166	-141.09883	43.5	95.8	315999	-4.082281	5.5807676	13.053626	-77.616066	3.9745054	0.03275548	14472.059234380722
80	-14.4065485	18.057215	-1.7724924	-149.07149	-12.117016	7.1936483	-2.5085156	-25.482845	51.675323	45.9	319999	-4.125613	5.697498	15.7589245	-82.235695	4.017488	0.031606976	14687.203491210938
81	-13.394015	9.902702	-1.8864641	-37.754147	-8.088564	8.020422	-1.9208311	-28.805964	50.189873	35.4	323999	-4.0687733	5.758891	23.508675	-77.72967	3.959842	0.031972244	14901.049300193787
82	-14.285348	14.518019	-2.053553	-96.11374	-13.00132	9.34223	-2.302435	-29.525229	60.2	49.9	327999	-4.000892	5.7143316	29.624954	-74.724434	3.8946362	0.034509357	15116.850159168243
83	-13.310596	13.341518	-2.0813148	-93.58699	-12.866811	6.8127046	-2.4021149	-23.129852	53.675323	49.4	331999	-3.9939	5.645077	27.022799	-80.23337	3.890827	0.03551555	15332.918688297272
84	-13.213927	8.852804	-1.9568416	-39.63868	-44.665398	54.326954	-2.3630953	-144.99966	51.532467	180.2	335999	-4.0514717	5.6616116	29.702589	-86.05391	3.9469666	0.037456125	15550.832464933395
85	-14.400836	9.6219845	-1.917361	-32.898647	-12.61154	7.7947526	-2.9837995	-27.404673	52.246754	43.3	339999	-4.089573	5.6386666	30.222345	-87.24637	3.9881418	0.0376684	15768.340918779373
86	-11.134148	7.838051	-2.1882389	-31.004377	-14.1312685	8.943461	-2.2931907	-30.44945	41.729168	48.3	343999	-4.1191	5.882357	37.313095	-93.7981	4.0140224	0.039367337	15985.088847398758
87	-13.4549465	8.333176	-1.8236005	-33.328197	-13.857374	9.412354	-3.3066099	-30.61852	50.708862	49.4	347999	-3.9896488	6.0556116	37.08132	-95.751816	3.8779309	0.037620153	16202.22270655632
88	-12.230409	8.513663	-2.5381737	-32.696777	-12.614435	7.76804	-4.0074515	-24.842476	46.717648	46.8	351999	-3.8178089	5.901186	40.325794	-95.2347	3.703381	0.03712668	16418.117914915085
89	-15.589786	11.121123	-2.2190216	-53.111305	-17.340971	8.749756	-5.8098054	-26.509394	70.24561	64.6	355999	-3.729129	5.6554117	20.180206	-86.001045	3.623162	0.03329684	16634.499594926834
90	-21.941761	16.774689	-3.4022305	-79.174034	-30.490402	36.037415	-2.9958348	-106.63396	104.60526	144.3	359999	-3.7816536	5.446757	3.63871	-79.85657	3.6823683	0.036897216	16853.872445583344
91	-16.00486	17.639206	-2.2461576	-101.97497	-11.108257	8.172951	-3.852329	-27.81667	68.0339	46.4	363999	-3.9804013	5.3304086	1.8921618	-75.63713	3.8910344	0.037003517	17069.404582500458
92	-12.963036	9.182991	-1.8805554	-31.505873	-10.070752	6.1258063	-2.6113033	-22.652159	47.58228	42.9	367999	-4.108758	5.5963216	1.7446222	-79.826675	4.0139337	0.033901375	17285.443939208984
93	-14.725518	11.171627	-1.9391402	-70.45921	-14.222635	7.923908	-4.9990907	-29.659037	54.73077	51.6	371999	-4.1442633	5.81099	1.6348486	-81.65456	4.047668	0.03452837	17503.045768499374
94	-10.902208	8.269407	-2.169558	-36.699543	-15.403775	9.974472	-2.2604442	-28.520798	43.10753	54.1	375999	-4.214855	5.942848	1.7583101	-83.03149	4.1206594	0.033188485	17720.73690509796
95	-13.191262	8.921528	-1.9894458	-30.936949	-9.564057	5.4380116	-3.3476834	-20.433651	46.658825	38.5	379999	-4.240274	5.938891	1.5372615	-86.78301	4.1469717	0.03579487	17940.72300338745
96	-12.121629	9.325138	-1.9967126	-46.686844	-11.379215	7.4649444	-3.7839465	-29.21448	49.71605	44.6	383999	-4.2859206	5.8350163	1.2931733	-86.14807	4.194491	0.038636435	18157.424786806107
